,Class,Order,Genus,Specie,Taxid,Publications,assembly
0,Actinopteri,Anabantiformes,Betta,splendens,158456,181,fBetSpl5.2
1,Actinopteri,Anabantiformes,Anabas,testudineus,64144,162,fAnaTes1.1
2,Actinopteri,Beloniformes,Oryzias,latipes,8090,3197,ASM223469v1
3,Actinopteri,Blenniiformes,Gouania,willdenowi,441366,1,fGouWil2.1
4,Actinopteri,Blenniiformes,Salarias,fasciatus,181472,0,fSalaFa1.1
5,Actinopteri,Carangiformes,Seriola,dumerili,41447,80,Sdu_1.0
6,Actinopteri,Carangiformes,Echeneis,naucrates,173247,10,fEcheNa1.1
7,Actinopteri,Characiformes,Astyanax,mexicanus,7994,219,Astyanax_mexicanus-1.0.2
8,Actinopteri,Characiformes,Pygocentrus,nattereri,42514,37,Pygocentrus_nattereri-1.0.2
9,Actinopteri,Cichliformes,Oreochromis,niloticus,8128,5851,O_niloticus_UMD_NMBU
10,Actinopteri,Cichliformes,Haplochromis,burtoni,8153,79,AstBur1.0
11,Actinopteri,Cichliformes,Amphilophus,citrinellus,61819,20,Midas_v5
12,Actinopteri,Cichliformes,Pundamilia,nyererei,303518,18,PunNye1.0
13,Actinopteri,Cichliformes,Maylandia,zebra,106582,13,M_zebra_UMD2a
14,Actinopteri,Cichliformes,Neolamprologus,brichardi,32507,12,NeoBri1.0
15,Actinopteri,Cichliformes,Astatotilapia,calliptera,8154,6,fAstCal1.2
16,Actinopteri,Clupeiformes,Clupea,harengus,7950,375,Ch_v2.0.2
17,Actinopteri,Clupeiformes,Denticeps,clupeoides,299321,2,fDenClu1.1
18,Actinopteri,Cypriniformes,Danio,rerio,7955,40882,GRCz11
19,Actinopteri,Cypriniformes,Cyprinus,carpio,7962,14387,German_Mirror_carp_1.0
20,Actinopteri,Cypriniformes,Carassius,auratus,7957,7584,ASM336829v1
21,Actinopteri,Cypriniformes,Sinocyclocheilus,grahami,75366,8,SAMN03320097.WGS_v1.1
22,Actinopteri,Cyprinodontiformes,Gambusia,affinis,33528,4450,ASM309773v1
23,Actinopteri,Cyprinodontiformes,Poecilia,reticulata,8081,1771,Guppy_female_1.0_MT
24,Actinopteri,Cyprinodontiformes,Fundulus,heteroclitus,8078,1292,Fundulus_heteroclitus-3.0.2
25,Actinopteri,Cyprinodontiformes,Xiphophorus,maculatus,8083,189,X_maculatus-5.0-male
26,Actinopteri,Cyprinodontiformes,Cyprinodon,variegatus,28743,156,C_variegatus-1.0
27,Actinopteri,Cyprinodontiformes,Kryptolebias,marmoratus,37003,144,ASM164957v1
28,Actinopteri,Esociformes,Esox,lucius,8010,660,Eluc_v4
29,Actinopteri,Gadiformes,Gadus,morhua,8049,1801,gadMor1
30,Actinopteri,Gobiiformes,Neogobius,melanostomus,47308,139,RGoby_Basel_V2
31,Actinopteri,Gobiiformes,Periophthalmus,magnuspinnatus,409849,4,PM.fa
32,Actinopteri,Gymnotiformes,Electrophorus,electricus,8005,1498,Ee_SOAP_WITH_SSPACE
33,Actinopteri,Holocentriformes,Myripristis,murdjan,586833,3,fMyrMur1.1
34,Actinopteri,Kurtiformes,Sphaeramia,orbicularis,375764,3,fSphaOr1.1
35,Actinopteri,Labriformes,Labrus,bergylta,56723,40,BallGen_V1
36,Actinopteri,Osteoglossiformes,Scleropages,formosus,113540,16,fSclFor1.1
37,Actinopteri,Osteoglossiformes,Paramormyrops,kingsleyae,1676925,3,PKINGS_0.1
38,Actinopteri,Perciformes,Gasterosteus,aculeatus,69293,1177,BROADS1
39,Actinopteri,Perciformes,Cottoperca,gobio,56716,4,fCotGob3.1
40,Actinopteri,Pleuronectiformes,Scophthalmus,maximus,52904,4186,ASM318616v1
41,Actinopteri,Pleuronectiformes,Cynoglossus,semilaevis,244447,238,Cse_v1.0
42,Actinopteri,Salmoniformes,Oncorhynchus,tshawytscha,74940,25814,Otsh_v1.0
43,Actinopteri,Salmoniformes,Salmo,trutta,8032,19484,fSalTru1.1
44,Actinopteri,Salmoniformes,Hucho,hucho,62062,15,ASM331708v1
45,Actinopteri,Semionotiformes,Lepisosteus,oculatus,7918,63,LepOcu1
46,Actinopteri,Siluriformes,Ictalurus,punctatus,7998,1829,IpCoco_1.2
47,Actinopteri,Spariformes,Sparus,aurata,8175,2477,fSpaAur1.1
48,Actinopteri,Synbranchiformes,Monopterus,albus,43700,149,M_albus_1.0
49,Actinopteri,Synbranchiformes,Mastacembelus,armatus,205130,32,fMasArm1.1
50,Actinopteri,Syngnathiformes,Hippocampus,comes,109280,15,H_comes_QL1_v1
51,Actinopteri,Tetraodontiformes,Takifugu,rubripes,31033,937,fTakRub1.2
52,Actinopteri,Tetraodontiformes,Tetraodon,nigroviridis,99883,189,TETRAODON8
53,Actinopteri,Tetraodontiformes,Mola,mola,94237,39,ASM169857v1
54,Mammalia,Artiodactyla,Bos,taurus,9913,364809,ARS-UCD1.2
55,Mammalia,Artiodactyla,Sus,scrofa,9823,22192,Jinhua_pig_v1
56,Mammalia,Artiodactyla,Ovis,aries,9940,10665,Oar_v3.1
57,Mammalia,Artiodactyla,Camelus,dromedarius,9838,4505,CamDro2
58,Mammalia,Artiodactyla,Vicugna,pacos,30538,2304,vicPac1
59,Mammalia,Artiodactyla,Tursiops,truncatus,9739,1530,turTru1
60,Mammalia,Artiodactyla,Physeter,catodon,9755,1511,ASM283717v2
61,Mammalia,Artiodactyla,Capra,hircus,9925,962,ARS1
62,Mammalia,Artiodactyla,Delphinapterus,leucas,9749,417,ASM228892v3
63,Mammalia,Artiodactyla,Bison,bison_bison,43346,314,Bison_UMD1.0
64,Mammalia,Artiodactyla,Moschus,moschiferus,68415,18,MosMos_v2_BIUU_UCD
65,Mammalia,Artiodactyla,Catagonus,wagneri,51154,13,CatWag_v2_BIUU_UCD
66,Mammalia,Carnivora,Canis,lupus_familiaris,9615,343798,UMICH_Zoey_3.1
67,Mammalia,Carnivora,Felis,catus,9685,144926,Felis_catus_9.0
68,Mammalia,Carnivora,Mustela,putorius_furo,9669,6502,MusPutFur1.0
69,Mammalia,Carnivora,Neovison,vison,452646,6080,NNQGG.v01
70,Mammalia,Carnivora,Panthera,leo,9689,5253,PanLeo1.0
71,Mammalia,Carnivora,Ursus,maritimus,29073,2604,UrsMar_1.0
72,Mammalia,Carnivora,Ailuropoda,melanoleuca,9646,2598,ailMel1
73,Mammalia,Carnivora,Vulpes,vulpes,9627,1279,VulVul2.2
74,Mammalia,Carnivora,Suricata,suricatta,37032,142,meerkat_22Aug2017_6uvM2_HiC
75,Mammalia,Carnivora,Lynx,canadensis,61383,73,mLynCan4_v1.p
76,Mammalia,Chiroptera,Myotis,lucifugus,59463,366,Myoluc2.0
77,Mammalia,Chiroptera,Rhinolophus,ferrumequinum,59479,128,mRhiFer1_v1.p
78,Mammalia,Chiroptera,Pteropus,vampyrus,132908,49,pteVam1
79,Mammalia,Cingulata,Dasypus,novemcinctus,9361,321,Dasnov3.0
80,Mammalia,Dasyuromorphia,Sarcophilus,harrisii,9305,159,mSarHar1.11
81,Mammalia,Didelphimorphia,Monodelphis,domestica,13616,764,ASM229v1
82,Mammalia,Diprotodontia,Phascolarctos,cinereus,38626,523,phaCin_unsw_v4.1
83,Mammalia,Diprotodontia,Vombatus,ursinus,29139,67,bare-nosed_wombat_genome_assembly
84,Mammalia,Diprotodontia,Notamacropus,eugenii,9315,5,Meug_1.0
85,Mammalia,Eulipotyphla,Sorex,araneus,42254,369,COMMON_SHREW1
86,Mammalia,Eulipotyphla,Erinaceus,europaeus,9365,364,HEDGEHOG
87,Mammalia,Hyracoidea,Procavia,capensis,9813,102,proCap1
88,Mammalia,Lagomorpha,Oryctolagus,cuniculus,9986,354792,OryCun2.0
89,Mammalia,Lagomorpha,Ochotona,princeps,9978,74,OchPri2.0-Ens
90,Mammalia,Monotremata,Ornithorhynchus,anatinus,9258,782,mOrnAna1.p.v1
91,Mammalia,Perissodactyla,Equus,caballus,9796,75185,EquCab3.0
92,Mammalia,Pilosa,Choloepus,hoffmanni,9358,68,choHof1
93,Mammalia,Primates,Homo,sapiens,9606,18701675,GRCh38
94,Mammalia,Primates,Macaca,mulatta,9544,42091,Mmul_10
95,Mammalia,Primates,Chlorocebus,sabaeus,60711,38293,ChlSab1.1
96,Mammalia,Primates,Pan,troglodytes,9598,10081,Pan_tro_3.0
97,Mammalia,Primates,Callithrix,jacchus,9483,4515,ASM275486v1
98,Mammalia,Primates,Gorilla,gorilla,9593,3043,
99,Mammalia,Primates,Papio,anubis,9555,1013,Panu_3.0
100,Mammalia,Primates,Microcebus,murinus,30608,331,Mmur_3.0
101,Mammalia,Primates,Cercocebus,atys,9531,327,Caty_1.0
102,Mammalia,Primates,Mandrillus,leucophaeus,9568,266,Mleu.le_1.0
103,Mammalia,Primates,Pongo,abelii,9601,211,PPYG2
104,Mammalia,Primates,Theropithecus,gelada,9565,203,Tgel_1.0
105,Mammalia,Proboscidea,Loxodonta,africana,9785,537,loxAfr3
106,Mammalia,Rodentia,Rattus,norvegicus,10116,1687788,Rnor_6.0
107,Mammalia,Rodentia,Mus,musculus,10090,1684531,AKR_J_v1
108,Mammalia,Rodentia,Cavia,porcellus,10141,143730,Cavpor3.0
109,Mammalia,Rodentia,Mesocricetus,auratus,10036,21304,MesAur1.0
110,Mammalia,Rodentia,Meriones,unguiculatus,10047,1510,MunDraft-v1.0
111,Mammalia,Rodentia,Microtus,ochrogaster,79684,446,MicOch1.0
112,Mammalia,Rodentia,Octodon,degus,10160,362,OctDeg1.0
113,Mammalia,Rodentia,Castor,canadensis,51338,135,C.can_genome_v1.0
114,Mammalia,Rodentia,Ictidomys,tridecemlineatus,43179,131,SpeTri2.0
115,Mammalia,Rodentia,Chinchilla,lanigera,34839,123,ChiLan1.0
116,Mammalia,Rodentia,Peromyscus,maniculatus_bairdii,230844,47,HU_Pman_2.1
117,Mammalia,Rodentia,Dipodomys,ordii,10020,43,Dord_2.0
118,Mammalia,Scandentia,Tupaia,belangeri,37347,440,TREESHREW
119,Sauropsida,Accipitriformes,Accipiter,nisus,211598,101,Accipiter_nisus_ver1.0
120,Sauropsida,Accipitriformes,Aquila,chrysaetos_chrysaetos,223781,0,bAquChr1.2
121,Sauropsida,Anseriformes,Anas,platyrhynchos,8839,1454,ASM874695v1
122,Sauropsida,Anseriformes,Anser,cygnoides,8845,99,GooseV1.0
123,Sauropsida,Apterygiformes,Apteryx,owenii,8824,8,aptOwe1
124,Sauropsida,Casuariiformes,Dromaius,novaehollandiae,8790,275,droNov1
125,Sauropsida,Charadriiformes,Calidris,pugnax,198806,1,ASM143184v1
126,Sauropsida,Crocodylia,Crocodylus,porosus,8502,184,CroPor_comp1
127,Sauropsida,Galliformes,Gallus,gallus,9031,130788,GRCg6a
128,Sauropsida,Galliformes,Coturnix,japonica,93934,5864,Coturnix_japonica_2.0
129,Sauropsida,Galliformes,Meleagris,gallopavo,9103,543,Turkey_2.01
130,Sauropsida,Galliformes,Phasianus,colchicus,9054,310,ASM414374v1
131,Sauropsida,Galliformes,Numida,meleagris,8996,204,NumMel1.0
132,Sauropsida,Galliformes,Pavo,cristatus,9049,93,AIIM_Pcri_1.0
133,Sauropsida,Galliformes,Chrysolophus,pictus,9089,17,Chrysolophus_pictus_GenomeV1.0
134,Sauropsida,Passeriformes,Taeniopygia,guttata,59729,951,bTaeGut1_v1.p
135,Sauropsida,Passeriformes,Parus,major,9157,719,Parus_major1.1
136,Sauropsida,Passeriformes,Cyanistes,caeruleus,156563,240,cyaCae2
137,Sauropsida,Passeriformes,Serinus,canaria,9135,206,SCA1
138,Sauropsida,Passeriformes,Junco,hyemalis,40217,150,ASM382977v1
139,Sauropsida,Passeriformes,Ficedula,albicollis,59894,128,FicAlb_1.4
140,Sauropsida,Passeriformes,Zonotrichia,albicollis,44394,96,Zonotrichia_albicollis-1.0.1
141,Sauropsida,Passeriformes,Geospiza,fortis,48883,54,GeoFor_1.0
142,Sauropsida,Passeriformes,Erythrura,gouldiae,44316,37,GouldianFinch
143,Sauropsida,Passeriformes,Manacus,vitellinus,328815,27,ASM171598v2
144,Sauropsida,Passeriformes,Lonchura,striata_domestica,299123,14,LonStrDom1
145,Sauropsida,Passeriformes,Camarhynchus,parvulus,87175,8,STF_HiC
146,Sauropsida,Psittaciformes,Melopsittacus,undulatus,13146,448,Melopsittacus_undulatus_6.3
147,Sauropsida,Psittaciformes,Strigops,habroptila,2489341,2,bStrHab1_v1.p
148,Sauropsida,Psittaciformes,Amazona,collaria,241587,0,ASM394721v1
149,Sauropsida,Sphenodontia,Sphenodon,punctatus,8508,116,ASM311381v1
150,Sauropsida,Squamata,Anolis,carolinensis,28377,569,AnoCar2.0
151,Sauropsida,Squamata,Pogona,vitticeps,103695,176,pvi1.1
152,Sauropsida,Squamata,Notechis,scutatus,8663,156,TS10Xv2-PRI
153,Sauropsida,Squamata,Podarcis,muralis,64176,103,PodMur_1.0
154,Sauropsida,Squamata,Pseudonaja,textilis,8673,90,EBS10Xv2-PRI
155,Sauropsida,Squamata,Varanus,komodoensis,61221,54,ASM479886v1
156,Sauropsida,Squamata,Salvator,merianae,96440,34,HLtupMer3
157,Sauropsida,Squamata,Laticauda,laticaudata,8630,11,latLat_1.0
158,Sauropsida,Strigiformes,Athene,cunicularia,194338,44,athCun1
159,Sauropsida,Struthioniformes,Struthio,camelus_australis,441894,9,ASM69896v1
160,Sauropsida,Testudines,Chelydra,serpentina,8475,242,Chelydra_serpentina-1.0
161,Sauropsida,Testudines,Pelodiscus,sinensis,13735,197,PelSin_1.0
162,Sauropsida,Testudines,Gopherus,agassizii,38772,92,ASM289641v1
163,Sauropsida,Testudines,Chrysemys,picta_bellii,8478,70,Chrysemys_picta_bellii-3.0.3
164,Sauropsida,Testudines,Terrapene,carolina_triunguis,2587831,12,T_m_triunguis-2.0
165,Sauropsida,Testudines,Pelusios,castaneus,367368,6,Pelusios_castaneus-1.0
166,Sauropsida,Testudines,Chelonoidis,abingdonii,106734,2,ASM359739v1
167,Sauropsida,Tinamiformes,Nothoprocta,perdicaria,30464,9,notPer1
